entry_time,direction,entry_price,exit_time,exit_price,result,pnl_pct_gross,pnl_pct,fib_score,symbol
2025-11-04 07:00:00,long,0.5304,2025-11-04 17:00:00,0.5197919999999999,stop_loss,-2.0,-2.3,0.67,ADAUSDT
2025-11-04 08:00:00,long,14.52,2025-11-04 18:00:00,14.2296,stop_loss,-2.0,-2.3,0.33,LINKUSDT
2025-11-04 21:00:00,long,880.8,2025-11-04 22:00:00,939.505,take_profit,6.66,6.36,0.66,BNBUSDT
2025-11-04 21:00:00,long,145.85,2025-11-05 05:00:00,158.20224,take_profit,8.47,8.17,1.0,SOLUSDT
2025-11-05 01:00:00,long,3166.66,2025-11-05 16:00:00,3423.2061599999997,take_profit,8.1,7.8,0.66,ETHUSDT
2025-11-08 14:00:00,long,8.5,2025-11-09 02:00:00,9.032416,take_profit,6.26,5.96,0.67,PROMUSDT
2025-11-12 16:00:00,long,2.478,2025-11-13 17:00:00,2.42844,stop_loss,-2.0,-2.3,0.33,NEARUSDT
2025-11-14 04:00:00,long,5.1e-06,2025-11-14 05:00:00,5.336e-06,take_profit,4.63,4.33,0.66,PEPEUSDT
2025-11-14 04:00:00,long,13.9,2025-11-14 06:00:00,14.454600000000001,take_profit,3.99,3.69,0.66,LINKUSDT
2025-11-14 12:00:00,long,3070.0,2025-11-14 14:00:00,3192.29284,take_profit,3.98,3.68,0.33,ETHUSDT
2025-11-14 12:00:00,long,0.15767,2025-11-14 14:00:00,0.16259768,take_profit,3.13,2.83,0.33,DOGEUSDT
2025-11-14 12:00:00,long,0.4998,2025-11-14 15:00:00,0.5189396000000001,take_profit,3.83,3.53,0.66,ADAUSDT
2025-11-14 12:00:00,long,135.76,2025-11-14 14:00:00,141.74967999999998,take_profit,4.41,4.11,0.66,SOLUSDT
2025-11-14 12:00:00,long,1.7422,2025-11-14 23:00:00,1.7073559999999999,stop_loss,-2.0,-2.3,0.33,SUIUSDT
2025-11-14 12:00:00,long,173.04,2025-11-16 16:00:00,169.5792,stop_loss,-2.0,-2.3,0.33,AAVEUSDT
2025-11-15 12:00:00,long,623.97,2025-11-15 13:00:00,652.0610800000001,take_profit,4.5,4.2,0.66,ZECUSDT
2025-11-17 13:00:00,long,0.658,2025-11-17 14:00:00,0.677588,take_profit,2.98,2.68,0.33,WLDUSDT
2025-11-21 07:00:00,long,5.913,2025-11-21 08:00:00,6.2639320000000005,take_profit,5.93,5.63,0.66,UNIUSDT
2025-11-21 12:00:00,long,0.576,2025-11-21 13:00:00,0.608568,take_profit,5.65,5.35,0.67,WLDUSDT
2025-11-21 12:00:00,long,0.222,2025-11-21 13:00:00,0.2347676,take_profit,5.75,5.45,0.67,ENAUSDT
2025-11-21 12:00:00,long,0.3876,2025-11-21 13:00:00,0.40787239999999997,take_profit,5.23,4.93,0.33,ADAUSDT
2025-11-21 12:00:00,long,1.8209,2025-11-21 13:00:00,1.9201143999999999,take_profit,5.45,5.15,0.34,XRPUSDT
2025-11-21 12:00:00,long,790.79,2025-11-21 13:00:00,826.2537199999999,take_profit,4.48,4.18,0.66,BNBUSDT
2025-11-21 12:00:00,long,0.13321,2025-11-21 13:00:00,0.13946635999999998,take_profit,4.7,4.4,0.34,DOGEUSDT
2025-11-22 05:00:00,long,470.32,2025-11-22 06:00:00,511.78048,take_profit,8.82,8.52,0.33,ZECUSDT
2025-12-06 20:00:00,long,326.19,2025-12-07 05:00:00,345.80868,take_profit,6.01,5.71,0.33,ZECUSDT
2025-12-07 22:00:00,long,0.557,2025-12-08 01:00:00,0.582488,take_profit,4.58,4.28,0.34,WLDUSDT
2025-12-12 00:00:00,long,1.646,2025-12-12 05:00:00,1.702404,take_profit,3.43,3.13,0.33,NEARUSDT
2025-12-16 04:00:00,long,0.211,2025-12-17 14:00:00,0.20678,stop_loss,-2.0,-2.3,0.33,ENAUSDT
2025-12-17 08:00:00,long,0.51,2025-12-17 14:00:00,0.531476,take_profit,4.21,3.91,0.66,WLDUSDT
2025-12-24 11:00:00,long,6.814,2025-12-25 15:00:00,7.451672,take_profit,9.36,9.06,0.33,PROMUSDT
2026-01-08 16:00:00,long,416.23,2026-01-09 04:00:00,443.07972,take_profit,6.45,6.15,0.33,ZECUSDT
2026-01-09 01:00:00,long,5.94e-06,2026-01-09 13:00:00,6.21376e-06,take_profit,4.61,4.31,0.67,PEPEUSDT
2026-01-09 08:00:00,long,2.0727,2026-01-09 15:00:00,2.154002,take_profit,3.92,3.62,0.34,XRPUSDT
2026-01-09 08:00:00,long,0.2284,2026-01-09 13:00:00,0.2366364,take_profit,3.61,3.31,0.66,ENAUSDT
2026-01-11 23:00:00,long,0.5575,2026-01-12 02:00:00,0.5795188,take_profit,3.95,3.65,0.33,WLDUSDT
2026-01-16 03:00:00,long,4.219,2026-01-16 05:00:00,4.13462,stop_loss,-2.0,-2.3,0.67,PROMUSDT
2026-01-18 03:00:00,long,3.546,2026-01-18 11:00:00,3.4750799999999997,stop_loss,-2.0,-2.3,0.33,PROMUSDT
2026-01-19 00:00:00,long,336.0,2026-01-19 01:00:00,362.72936,take_profit,7.96,7.66,0.33,ZECUSDT
2026-01-19 16:00:00,long,2.808,2026-01-19 19:00:00,2.9880679999999997,take_profit,6.41,6.11,0.66,PROMUSDT
2026-01-20 22:00:00,long,0.3467,2026-01-21 19:00:00,0.3657216,take_profit,5.49,5.19,0.34,ADAUSDT
2026-01-20 22:00:00,long,151.72,2026-01-21 14:00:00,158.4814,take_profit,4.46,4.16,0.33,AAVEUSDT
2026-01-20 22:00:00,long,1.4473,2026-01-21 19:00:00,1.5431868,take_profit,6.63,6.33,0.33,SUIUSDT
2026-01-30 01:00:00,long,1.257,2026-01-31 08:00:00,1.23186,stop_loss,-2.0,-2.3,0.67,SUIUSDT
2026-01-30 18:00:00,long,320.73,2026-01-30 19:00:00,340.613,take_profit,6.2,5.9,0.33,ZECUSDT
2026-01-30 18:00:00,long,1.289,2026-01-31 14:00:00,1.26322,stop_loss,-2.0,-2.3,0.67,NEARUSDT
2026-01-31 14:00:00,long,3.891,2026-01-31 17:00:00,3.81318,stop_loss,-2.0,-2.3,0.66,UNIUSDT
2026-01-31 18:00:00,long,8.97,2026-01-31 21:00:00,9.84084,take_profit,9.71,9.41,0.33,LINKUSDT
